number|headword|en|ru|tk
3601|岸|bank; shore|берег|kenar
3602|案例|case; case study|случай; пример из практики|waka; iş tejribesinden mysal
3603|按摩|massage|делать массаж|owkalamak; massaž etmek
3604|暗示|hint; imply|намекать; подразумевать|ýaňzytmak; yşarat etmek
3605|昂贵|expensive; costly|дорогой; дорогостоящий|gymmat; gymmat bahaly
3606|白白|in vain; for nothing|напрасно; даром|biderek; mugt
3607|白领|white-collar worker|офисный работник|edara işgäri
3608|摆|place; arrange; swing|ставить; расставлять; качать|goýmak; ýerleşdirmek; yrgyldatmak
3609|摆放|place; arrange|расставлять; размещать|ýerbe-ýer goýmak; ýerleşdirmek
3610|百分点|percentage point|процентный пункт|göterim punkty
3611|百货|general merchandise|товары широкого потребления|gündelik sarp ediş harytlary
3612|摆脱|get rid of; break free from|избавляться; освобождаться от|dynmak; halas bolmak
3613|败|lose; be defeated; defeat|проигрывать; терпеть поражение; побеждать|ýeňilmek; ýeňmek
3614|拜访|pay a visit; call on|наносить визит|baryp görmek; myhmançylyga barmak
3615|拜年|pay New Year greetings|поздравлять с китайским Новым годом|Täze ýyl bilen gutlamaga barmak
3616|版|edition; printing plate; newspaper page|издание; печатная форма; полоса газеты|neşir; çap galypy; gazet sahypasy
3617|版本|edition; version|издание; версия|neşir; wersiýa
3618|伴随|accompany; go along with|сопровождать; сопутствовать|ýoldaş bolmak; bile ýüze çykmak
3619|扮演|play a role; act as|играть роль; выступать в качестве|rol oýnamak; hökmünde çykyş etmek
3620|榜样|example; role model|образец; пример для подражания|görelde; nusga
3621|棒球|baseball|бейсбол|beýsbol
3622|保管|safekeep; take care of|хранить; беречь|aýap saklamak; gözegçilik etmek
3623|保健|maintain health|укреплять здоровье|saglygy goramak
3624|保暖|keep warm|сохранять тепло; тепло одеваться|ýyly saklamak; ýyly geýinmek
3625|保修|provide warranty repairs|обеспечивать гарантийный ремонт|kepillik boýunça abatlamak
3626|保障|safeguard; guarantee; protection|обеспечивать; гарантировать; гарантия|ü üpjün etmek; kepillendirmek; kepillik
3627|爆|explode; burst|взрываться; лопаться|partlamak; ýarylmak
3628|爆发|break out; erupt|вспыхивать; разражаться|birden başlanmak; möwç almak
3629|报刊|newspapers and periodicals|газеты и журналы|gazetler we žurnallar
3630|暴力|violence; force|насилие; силовое воздействие|zorluk; güýç ulanmak
3631|暴露|expose; reveal|обнажать; обнаруживать; раскрывать|paş etmek; açyp görkezmek
3632|报社|newspaper office|редакция газеты|gazetiň redaksiýasy
3633|爆炸|explode; blow up|взрываться; взрывать|partlamak; partlatmak
3634|悲观|pessimistic|пессимистичный|umytsyz; geljege ynamsyz
3635|悲剧|tragedy|трагедия|pajyga
3636|悲伤|sad; sorrowful|печальный; скорбный|gynançly; gamgyn
3637|北极|North Pole; Arctic|Северный полюс; Арктика|Demirgazyk polýus; Arktika
3638|北美洲|North America|Северная Америка|Demirgazyk Amerika
3639|被动|passive; on the defensive|пассивный; вынужденный|passiw; mejbury ýagdaýdaky
3640|被迫|be forced to|быть вынужденным|mejbur bolmak
3641|背心|vest; sleeveless undershirt|жилет; майка|ýeňsiz köýnek; maýka
3642|备用|keep in reserve; keep for spare use|держать про запас|ätiýaçda saklamak
3643|倍增|multiply; increase severalfold|увеличиваться в несколько раз|birnäçe esse artmak
3644|奔跑|run; rush|бежать; мчаться|ylgamak; ýüwürmek
3645|本能|instinct; instinctively|инстинкт; инстинктивно|instinkt; tebigy duýgy bilen
3646|本身|itself; oneself|сам по себе; непосредственно сам|özi; öz-özi
3647|本土|native land; local area|родная земля; местная территория|dogduk ýer; ýerli çäk
3648|逼|force; press; compel|принуждать; вынуждать|mejbur etmek; gysmak
