number|headword|en|ru|tk
1001|啊|ah!; oh! (exclamation)|а!; ах!; о! (восклицание)|ah!; wah! (ýüzlenme)
1002|爱情|romantic love|любовь; романтические чувства|söýgi; yşk
1003|爱心|compassion; a caring heart|сострадание; забота о других|mähir; rehimdarlyk
1004|安检|security check; undergo security screening|досмотр; проходить проверку безопасности|howpsuzlyk barlagy; howpsuzlyk barlagyndan geçmek
1005|安排|arrange; make plans for|устраивать; планировать; распределять|guramak; meýilleşdirmek
1006|按|press; according to|нажимать; согласно; по|basmak; görä; boýunça
1007|按时|on time; punctually|вовремя; в установленный срок|wagtynda; bellenen wagtda
1008|按照|according to; in accordance with|согласно; в соответствии с|görä; laýyklykda
1009|白酒|baijiu; Chinese distilled spirit|байцзю; китайский крепкий алкоголь|baýsýu; hytaýyň güýçli alkogolly içgisi
1010|办公|work in an office; handle official business|работать в офисе; заниматься служебными делами|edarada işlemek; gulluk işlerini ýerine ýetirmek
1011|办理|handle; process (formalities)|оформлять; выполнять формальности|resmileşdirmek; işini ýöretmek
1012|办事|handle matters; get things done|заниматься делами; выполнять поручения|iş bitirmek; işleri ýerine ýetirmek
1013|棒|excellent; great; stick|отличный; здорово; палка|ajaýyp; örän gowy; taýak
1014|保护|protect; safeguard|защищать; охранять|goramak
1015|保证|guarantee; assure; a guarantee|гарантировать; заверять; гарантия|kepillendirmek; kepil geçmek; kepillik
1016|抱|hold in one's arms; hug|держать на руках; обнимать|gujaklamak; gujagynda saklamak
1017|报考|apply to take an examination|подавать заявление на экзамен|synaga girmek üçin arza bermek
1018|报名|sign up; register|записываться; регистрироваться|ýazylmak; hasaba durmak
1019|抱歉|sorry; apologetic|сожалеть; извините|bagyşlaň; ötünç soraýan
1020|背|carry on one's back|нести на спине|arkasynda götermek
1021|背包|backpack; rucksack|рюкзак|arkadan asylýan torba; rýukzak
1022|北部|northern part; the north|северная часть; север|demirgazyk bölegi; demirgazyk
1023|倍|times; -fold (multiplier)|раз (при сравнении величин)|esse; gezek (esse artmagy bildirýär)
1024|本科|undergraduate study; bachelor's level|бакалавриат; программа высшего образования|bakalawr derejesi; bakalawr okuwy
