number|headword|en|ru|tk
501|阿姨|aunt; auntie (polite address for a woman)|тётя; тётушка (вежливое обращение)|daýza; aýala sypaýy ýüzlenme
502|矮|short (in height); low|низкий; невысокий, низкорослый|pes; gysga boýly
503|爱人|spouse; husband or wife|супруг, супруга|ýanýoldaş; är ýa-da aýal
504|安静|quiet; peaceful|тихий; спокойный|ümsüm; asuda
505|安全|safe; safety|безопасный; безопасность|howpsuz; howpsuzlyk
506|把|hold; handle; classifier for handled objects; object-marking particle|держать; ручка; счётное слово для предметов с ручкой; показатель вынесенного дополнения|tutmak; tutawaç; tutawaçly zatlaryň san sözi; obýekti işligiň öňüne çykarýan kömekçi söz
507|搬|move; carry to another place|переносить; переезжать|daşamak; göçmek
508|班级|school class; group of students|школьный класс; учебная группа|synp; okuwçylar topary
509|搬家|move house|переезжать на новое жильё|başga jaýa göçmek
510|办|handle a matter; arrange; run|заниматься делом; организовывать; оформлять|bir işi çözmek; guramak; resmileşdirmek
511|办法|way; method; solution|способ; метод; решение|usul; çäre; çözgüt
512|办公室|office|офис; рабочий кабинет|iş otagy; edara otagy
513|半天|half a day; a long time|полдня; долгое время|ýarym gün; uzak wagt
514|帮助|help; assistance|помогать; помощь|kömek etmek; kömek
515|饱|full after eating|сытый; наесться|dok; doýmak
516|报纸|newspaper|газета|gazet
517|北|north|север; северный|demirgazyk
518|北方|the north; northern regions|север; северные районы|demirgazyk; demirgazyk sebitler
519|被|passive marker; quilt|показатель пассива; одеяло|passiw gurluşyň kömekçi sözi; ýorgan
520|笔记|notes; take notes|записи, конспект; записывать|bellikler; bellik etmek
521|比较|compare; relatively; rather|сравнивать; сравнительно, довольно|deňeşdirmek; birneme; otnositel
522|笔记本|notebook; laptop|блокнот, тетрадь; ноутбук|depder; noutbuk
523|比如|for example|например|mysal üçin
524|比赛|match; competition; compete|соревнование, матч; соревноваться|ýaryş; bäsleşik; ýaryşmak
525|必须|must; have to|обязательно; необходимо; должен|hökman; zerur; etmeli
526|变|change; become different|меняться; изменять|üýtgemek; üýtgetmek
527|遍|time (a complete repetition)|раз (полное повторение действия)|gezek (hereketiň başdan ahyra gaýtalanmagy)
528|变成|turn into; become|превращаться в; становиться|öwrülmek; başga bir zada öwrülmek
529|变化|change; vary|изменение; изменяться|üýtgeşme; üýtgemek
530|表演|perform; performance|выступать, исполнять; выступление|çykyş etmek; sahnada ýerine ýetirmek; çykyş
531|别的|other; another|другой; прочий|başga; beýleki
532|别人|other people; someone else|другие люди; кто-то другой|başgalar; başga adam
533|宾馆|hotel; guesthouse|гостиница; отель|myhmanhana
534|冰|ice|лёд|buz
535|冰激凌|ice cream|мороженое|doňdurma
536|冰箱|refrigerator|холодильник|sowadyjy
537|病人|patient; sick person|больной; пациент|näsag; syrkaw adam
538|不但|not only|не только|diňe bir ... däl
539|不见|not see; disappear; be missing|не видеть; пропадать; отсутствовать|görmezlik; ýitmek; görünmezlik
540|不用|need not; no need to|не нужно; не надо|gerek däl; zerur däl
541|不同|different; not the same|разный; отличающийся|dürli; tapawutly
542|不久|soon; not long afterwards|скоро; вскоре; недолго|tiz wagtdan; kän wagt geçmän
543|不行|not allowed; will not do; cannot|нельзя; не годится; не получится|bolmaz; ýaramaýar; mümkin däl
544|才1|only; only then; not until|только; лишь тогда; только после|diňe; diňe şondan soň
545|菜单|menu|меню|menýu
546|参加|take part in; participate|участвовать; принимать участие|gatnaşmak
547|草|grass|трава|ot; ot-çöp
548|草地|lawn; grassland|газон; луг|otluk ýer; çemenlik
549|层|floor; layer|этаж; слой|gat; gatlak
550|查|check; look up; investigate|проверять; искать в справочнике; исследовать|barlamak; gözläp tapmak; derňemek
551|差|poor; differ; fall short of|плохой; отличаться; недоставать|ýaramaz; tapawutlanmak; ýetmezlik
552|差不多|almost; about the same|почти; примерно одинаковый|takmynan; tas; diýen ýaly birmeňzeş
553|尝|taste; try food|пробовать на вкус|dadyp görmek
554|常|often; usual; regular|часто; обычный; постоянный|ýygy-ýygydan; adaty; hemişelik
555|常见|common; frequently seen|распространённый; часто встречающийся|köp duş gelýän; giň ýaýran
556|常用|commonly used|часто употребляемый|köp ulanylýan
557|常常|often; frequently|часто; нередко|köplenç; ýygy-ýygydan
558|衬衫|shirt; blouse|рубашка; блузка|köýnek; bluzka
559|成绩|result; grade; achievement|результат; оценка; достижение|netije; baha; üstünlik
560|城市|city; town|город|şäher
561|迟到|be late|опаздывать|gijä galmak
562|出发|set off; depart|отправляться; выезжать|ýola düşmek; ugramak
563|出生|be born|родиться|dogulmak
564|出院|be discharged from hospital|выписываться из больницы|hassahanadan çykmak
565|初中|junior secondary school|младшая ступень средней школы (в Китае)|orta mekdebiň aşaky basgançagy
566|除了|except for; apart from; besides|кроме; помимо|...-dan başga; ...-dan daşary
567|船|boat; ship|лодка; корабль|gaýyk; gämi
568|春天|spring (season)|весна|bahar; ýaz
569|词典|dictionary|словарь|sözlük
570|聪明|clever; intelligent|умный; сообразительный|akylly; ugurtapyjy
571|打扫|clean; sweep|убирать; подметать|arassalamak; süpürmek
572|打算|plan; intend; intention|планировать; намереваться; намерение|meýilleşdirmek; niýet etmek; niýet
573|大概|probably; roughly; approximately|вероятно; примерно|ähtimal; takmynan
574|大人|adult; grown-up|взрослый|uly adam; ulular
575|大小|size|размер; величина|ölçeg; ululyk
576|大熊猫|giant panda|большая панда|uly panda
577|大衣|overcoat|пальто|palto
578|带|take along; bring; lead; belt|брать с собой; приносить; вести; пояс|ýany bilen almak; getirmek; alyp barmak; guşak
579|担心|worry; be concerned|беспокоиться; волноваться|alada etmek; gaýgy etmek
580|蛋糕|cake|торт; пирожное|tort; süýji köke
581|当然|of course; naturally|конечно; естественно|elbetde; tebigy ýagdaýda
582|到处|everywhere|повсюду; везде|hemme ýerde; ähli ýerde
583|得|get; obtain; win|получать; приобретать; выигрывать|almak; gazanmak
584|得到|get; obtain; receive|получать; добиваться|almak; gazanmak; ýetmek
585|得分|score points; score|набирать очки; количество очков|utuk gazanmak; toplanan utuk
586|的话|if (after a conditional clause)|если (после условной части)|eger (şertli sözlemiň soňunda)
587|得|must; have to|должен; приходится; надо|etmeli; mejbur bolmak; gerek
588|灯|lamp; light|лампа; светильник|çyra
589|地|ground; land; field|земля; почва; поле|ýer; toprak; meýdan
590|地点|place; location|место; местоположение|ýer; ýerleşýän ýeri
591|地方|place; area|место; район; местность|ýer; sebit
592|地图|map|карта|karta; ýer kartasy
593|电|electricity|электричество|elektrik
594|电梯|lift; elevator|лифт|lift
595|电子书|e-book|электронная книга|elektron kitap
596|丢|lose; throw away|терять; выбрасывать|ýitirmek; taşlamak
597|东|east|восток; восточный|gündogar
598|东北|northeast; Northeast China|северо-восток; Северо-Восточный Китай|demirgazyk-gündogar; Hytaýyň demirgazyk-gündogary
599|东方|the east|восток|gündogar
600|东南|southeast|юго-восток|günorta-gündogar
601|冬天|winter|зима|gyş
602|懂得|understand; know|понимать; знать|düşünmek; bilmek
603|动物|animal|животное|haýwan
604|动物园|zoo|зоопарк|haýwanat bagy
605|短|short; brief|короткий; краткий|gysga
606|短裤|shorts|шорты|şortik; gysga balak
607|段|section; stretch; period; classifier for sections|отрезок; раздел; период; счётное слово для частей|bölek; parça; döwür; bölekleriň san sözi
608|锻炼|exercise; train|заниматься физкультурой; тренировать|maşk etmek; türgenleşmek
609|对话|dialogue; converse|диалог; беседовать|söhbet; gepleşik; söhbetdeş bolmak
610|饿|hungry|голодный; голодать|aç; ajykmak
611|而且|moreover; and also|к тому же; и притом|üstesine-de; şeýle hem
612|耳朵|ear|ухо|gulak
613|耳机|headphones; earphones|наушники|gulaklyk
614|发|send; issue; give out|отправлять; выпускать; выдавать|ibermek; neşir etmek; paýlamak
615|发烧|have a fever|температурить; иметь жар|gyzgynyň galmagy; gyzdyrmak
616|发生|happen; occur|происходить; случаться|bolup geçmek; ýüze çykmak
617|发现|discover; notice; find|обнаруживать; замечать; находить|açmak; ýüze çykarmak; duýmak
618|发展|develop; development|развивать; развиваться; развитие|ösdürmek; ösmek; ösüş
619|方便|convenient|удобный|amatly
620|方便面|instant noodles|лапша быстрого приготовления|tiz taýýarlanýan unaş
621|方法|method; way|метод; способ|usul; ýol
622|方向|direction|направление|ugur
623|房子|house; building|дом; здание|jaý; bina
624|放|put; place; let go|класть; ставить; отпускать|goýmak; goýbermek
625|放假|have a holiday; go on vacation|уходить на каникулы; отдыхать в выходные|dynç alyşa çykmak; kanikula çykmak
626|放心|feel reassured; stop worrying|успокоиться; не беспокоиться|arkaýyn bolmak; alada etmezlik
627|放学|finish school for the day|закончить занятия в школе (за день)|mekdepde sapaklaryň gutarmagy
628|分开|separate; part; apart|разделять; расставаться; отдельно|aýyrmak; aýrylyşmak; aýry
629|风|wind|ветер|ýel
630|封|seal; classifier for letters|запечатывать; счётное слово для писем|möhürlemek; hatlaryň san sözi
631|夫妻|married couple; husband and wife|супруги; муж и жена|är-aýal; ýanýoldaşlar
632|服务|serve; service|обслуживать; обслуживание; услуга|hyzmat etmek; hyzmat
633|附近|nearby; neighbourhood|поблизости; окрестности|golaýda; töwerek
634|复习|review; revise lessons|повторять изученное|öwrenileni gaýtalamak
635|该1|should; ought to; it is one's turn|следует; пора; чья-либо очередь|etmeli; wagty gelmek; nobaty ýetmek
636|干净|clean|чистый|arassa
637|感兴趣|be interested in|интересоваться|gyzyklanmak
638|感到|feel; sense|чувствовать; ощущать|duýmak; duýgulamak
639|感冒|catch a cold; common cold|простудиться; простуда|sowuklamak; sowuklama
640|干|do; work|делать; работать|etmek; işlemek
641|刚|just; only just|только что; только-только|ýaňy; edil ýaňy
642|刚才|just now; a moment ago|только что; минуту назад|ýaňy; biraz öň
643|刚刚|just now; just recently|только что; совсем недавно|edil ýaňy; ýaňy-ýakynda
644|高铁|high-speed railway; high-speed train|высокоскоростная железная дорога; скоростной поезд|ýokary tizlikli demir ýol; çalt otly
645|根据|according to; based on; basis|согласно; на основании; основание|...-a görä; esaslanmak; esas
646|更|more; even more|ещё; ещё более|has; has-da
647|公斤|kilogram|килограмм|kilogram
648|公园|park|парк|seýilgäh
649|工作日|working day|рабочий день|iş güni
650|故事|story|история; рассказ|hekaýa
651|刮|blow (wind); scrape; shave|дуть (о ветре); скоблить; брить|öwüsmek; gazamak; syrmak
652|关|close; shut; turn off|закрывать; выключать|ýapmak; öçürmek
653|关机|turn off a device|выключать устройство|enjamy öçürmek
654|关系|relationship; connection|отношение; связь|gatnaşyk; baglanyşyk
655|关心|care about; show concern for|заботиться; интересоваться|alada etmek; gyzyklanmak
656|关于|about; concerning|о; относительно; касательно|hakynda; barada
657|关注|pay attention to; follow closely|уделять внимание; следить за|üns bermek; yzarlamak
658|国家|country; nation; state|страна; государство|ýurt; döwlet
659|过节|celebrate a festival|отмечать праздник|baýram bellemek
660|过去2|the past; formerly|прошлое; прежде|geçmiş; ozal
661|海|sea|море|deňiz
662|害怕|be afraid; fear|бояться; страшиться|gorkmak
663|好多|many; a lot|много; очень много|köp; ep-esli
664|好久|a long time|долго; долгое время|uzak wagt
665|好像|seem; appear; as if|кажется; похоже; как будто|ýaly; meňzemek; öýdýän
666|号码|number (phone, room, etc.)|номер (телефона, комнаты и т. п.)|belgi; telefon ýa-da otag belgisi
667|河|river|река|derýa
668|合适|suitable; appropriate|подходящий; уместный|laýyk; ýerlikli
669|黑板|blackboard|классная доска|synp tagtasy
670|红绿灯|traffic lights|светофор|ýol çyrasy; svetofor
671|后来|later; afterwards|потом; впоследствии|soň; soňra
672|后年|the year after next|через два года; год после следующего|indiki ýyldan soňky ýyl
673|后天|the day after tomorrow|послезавтра|birigün
674|护照|passport|паспорт|pasport
675|花园|garden|сад|bag; gül bagy
676|画家|painter; artist|художник|suratkeş
677|欢迎|welcome|приветствовать; добро пожаловать|hoş garşylamak; hoş geldiňiz
678|还|return; give back; repay|возвращать; отдавать долг|yzyna bermek; gaýtarmak; bergini üzmek
679|环境|environment; surroundings|среда; окружающая обстановка|gurşaw; daş-töwerek
680|换|change; exchange; replace|менять; обменивать; заменять|çalşyrmak; alyşmak
681|黄色|yellow (colour)|жёлтый цвет|sary reňk
682|回答|answer; reply|отвечать; ответ|jogap bermek; jogap
683|会2|meeting; gathering|собрание; встреча|ýygnak; duşuşyk
684|会议|meeting; conference|собрание; конференция|ýygnak; maslahat
685|或|or; perhaps|или; возможно|ýa-da; belki
686|或者|or; perhaps|или; либо; возможно|ýa-da; belki
687|鸡|chicken; hen|курица; петух|towuk
688|几乎|almost; nearly|почти; едва ли не|diýen ýaly; tas
689|机会|opportunity; chance|возможность; случай; шанс|mümkinçilik; pursat
690|极|extremely; utmost; pole|крайне; предельный; полюс|örän; iň ýokary dereje; polýus
691|急|urgent; anxious; in a hurry|срочный; спешить; волноваться|gyssagly; howlukmak; aladalanmak
692|记|remember; record; make a note|запоминать; записывать|ýatda saklamak; ýazyp almak
693|季|season; quarter of a year|сезон; время года; квартал|pasyl; möwsüm; çärýek
694|季节|season|время года; сезон|pasyl; möwsüm
695|加|add; increase; plus|добавлять; увеличивать; плюс|goşmak; artdyrmak; goşmak belgisi
696|假期|holiday; vacation|каникулы; отпуск|dynç alyş; kanikul; zähmet rugsady
697|坚持|persist; keep at; insist on|упорно продолжать; придерживаться; настаивать|tutanýerli dowam etmek; ygrarly bolmak; talap etmek
698|检查|check; inspect; examine|проверять; осматривать|barlamak; gözden geçirmek
699|简单|simple; easy|простой; несложный|ýönekeý; aňsat
700|检票|check tickets|проверять билеты|petekleri barlamak
701|健康|healthy; health|здоровый; здоровье|sagdyn; saglyk
702|见面|meet; see each other|встречаться; видеться|duşuşmak; görüşmek
703|讲|speak; explain; tell|говорить; объяснять; рассказывать|gürlemek; düşündirmek; gürrüň bermek
704|角|jiao (one tenth of a yuan)|цзяо (одна десятая юаня)|jiao (ýuanyň ondan biri)
705|脚|foot|ступня; нога|aýak
706|接|receive; pick up; answer; connect|принимать; встречать; отвечать; соединять|kabul etmek; garşylamak; jogap bermek; birikdirmek
707|街|street|улица|köçe
708|节|festival; section; classifier for lessons|праздник; отрезок; счётное слово для уроков|baýram; bölek; sapaklaryň san sözi
709|结婚|get married; marry|жениться; выходить замуж|durmuş gurmak; öýlenmek; durmuşa çykmak
710|节目|programme; show; performance item|программа; передача; номер выступления|gepleşik; tomaşa; çykyş
711|节日|festival; holiday|праздник|baýram
712|结束|end; finish; conclusion|заканчивать; заканчиваться; конец|tamamlamak; gutarmak; tamamlanma
713|解决|solve; resolve; settle|решать; разрешать проблему|çözmek; meseläni çözmek
714|姐妹|sisters|сёстры|uýalar; aýal doganlar
715|借|borrow; lend|брать взаймы; давать взаймы|karz almak; karz bermek
716|斤|jin (500 grams in mainland China)|цзинь (500 граммов в КНР)|jin (Hytaýda 500 gram)
717|经过|pass through; undergo; course of events|проходить через; переживать; ход событий|geçmek; başdan geçirmek; wakalaryň gidişi
718|经理|manager|менеджер; управляющий|dolandyryjy; menejer
719|久|a long time; long-lasting|долго; длительный|uzak wagt; uzak dowam edýän
720|酒|alcoholic drink; wine|алкогольный напиток; вино|alkogolly içgi; şerap
721|旧|old; used; former|старый; подержанный; прежний|köne; ulanylan; öňki
722|句|sentence; classifier for sentences|предложение; счётное слово для фраз|sözlem; sözlemleriň san sözi
723|句子|sentence|предложение; фраза|sözlem
724|决定|decide; decision|решать; решение|karar etmek; karar
725|卡|card|карта; карточка|kart; kartoçka
726|开花|bloom; flower|цвести; расцветать|güllemek; gül açmak
727|开会|hold or attend a meeting|проводить собрание; участвовать в совещании|ýygnak geçirmek; ýygnaga gatnaşmak
728|开机|switch on a device; start a computer|включать устройство; запускать компьютер|enjamy açmak; kompýuteri işletmek
729|开心|happy; delighted|радостный; веселиться|şat; begenmek
730|看来|it seems; apparently|по-видимому; кажется|görnüşine görä; öýdýän
731|可|but; really (for emphasis)|но; ведь; очень (для усиления)|ýöne; ahyryn; örän (nygtamak üçin)
732|渴|thirsty|хотеть пить; испытывать жажду|suwsamak; suwsan
733|可爱|cute; lovable|милый; прелестный|mähirli; ýakymly; owadan
734|可是|but; however|но; однако|ýöne; emma
